User Id,Module,Sub Module,Actions
0,model_building,model_versions,"['list', 'get', 'create', 'update', 'delete']"
1,data_ingestion,datasets,"['list', 'get', 'create', 'update', 'delete']"
2,data_analytics,alerts,"['list', 'get', 'create', 'update', 'delete']"
3,data_analytics,widgets,"['list', 'get', 'create', 'update', 'delete']"
4,data_analytics,reports,"['list', 'get', 'create', 'update', 'delete']"
5,model_building,models,"['list', 'get', 'create', 'update', 'delete']"
6,data_ingestion,connectors,"['list', 'get', 'create', 'update', 'delete']"
7,model_building,model_versions,"['list', 'get', 'create', 'update', 'delete']"
8,data_ingestion,datasources,"['list', 'get', 'create', 'update', 'delete']"
9,model_building,ml_backends,"['list', 'get']"
10,model_building,model_versions,"['list', 'get', 'create', 'update', 'delete']"
11,data_analytics,alerts,"['list', 'get', 'create', 'update', 'delete']"
12,data_ingestion,connectors,"['list', 'get', 'create', 'update', 'delete']"
13,model_building,model_versions,"['list', 'get', 'create', 'update', 'delete']"
14,data_ingestion,datasets,"['list', 'get', 'create', 'update', 'delete']"
15,model_building,model_versions,"['list', 'get', 'create', 'update', 'delete']"
16,data_analytics,reports,"['list', 'get', 'create', 'update', 'delete']"
17,data_analytics,widgets,"['list', 'get', 'create', 'update', 'delete']"
18,model_building,model_versions,"['list', 'get', 'create', 'update', 'delete']"
19,data_analytics,widgets,"['list', 'get', 'create', 'update', 'delete']"
20,data_analytics,widgets,"['list', 'get', 'create', 'update', 'delete']"
21,data_ingestion,connectors,"['list', 'get', 'create', 'update', 'delete']"
22,data_analytics,dashboards,"['list', 'get', 'create', 'update', 'delete']"
23,data_ingestion,datasources,"['list', 'get', 'create', 'update', 'delete']"
24,data_ingestion,datasets,"['list', 'get', 'create', 'update', 'delete']"
25,data_analytics,reports,"['list', 'get', 'create', 'update', 'delete']"
26,data_ingestion,connectors,"['list', 'get', 'create', 'update', 'delete']"
27,data_analytics,alerts,"['list', 'get', 'create', 'update', 'delete']"
28,data_analytics,dashboards,"['list', 'get', 'create', 'update', 'delete']"
29,data_ingestion,datasets,"['list', 'get', 'create', 'update', 'delete']"
30,data_analytics,alerts,"['list', 'get', 'create', 'update', 'delete']"
31,model_building,ml_backends,"['list', 'get']"
32,data_ingestion,connectors,"['list', 'get', 'create', 'update', 'delete']"
33,data_analytics,alerts,"['list', 'get', 'create', 'update', 'delete']"
34,model_building,models,"['list', 'get', 'create', 'update', 'delete']"
35,model_building,ml_backends,"['list', 'get']"
36,model_building,model_versions,"['list', 'get', 'create', 'update', 'delete']"
37,data_ingestion,connectors,"['list', 'get', 'create', 'update', 'delete']"
38,data_ingestion,datasets,"['list', 'get', 'create', 'update', 'delete']"
39,data_ingestion,datasets,"['list', 'get', 'create', 'update', 'delete']"
40,model_building,ml_backends,"['list', 'get']"
41,data_analytics,alerts,"['list', 'get', 'create', 'update', 'delete']"
42,model_building,models,"['list', 'get', 'create', 'update', 'delete']"
43,data_ingestion,datasources,"['list', 'get', 'create', 'update', 'delete']"
44,data_analytics,widgets,"['list', 'get', 'create', 'update', 'delete']"
45,data_analytics,alerts,"['list', 'get', 'create', 'update', 'delete']"
46,model_building,model_versions,"['list', 'get', 'create', 'update', 'delete']"
47,data_analytics,dashboards,"['list', 'get', 'create', 'update', 'delete']"
48,data_analytics,alerts,"['list', 'get', 'create', 'update', 'delete']"
49,model_building,model_versions,"['list', 'get', 'create', 'update', 'delete']"
50,data_analytics,dashboards,"['list', 'get', 'create', 'update', 'delete']"
51,model_building,ml_backends,"['list', 'get']"
52,data_ingestion,datasets,"['list', 'get', 'create', 'update', 'delete']"
53,model_building,ml_backends,"['list', 'get']"
54,model_building,ml_backends,"['list', 'get']"
55,model_building,ml_backends,"['list', 'get']"
56,data_ingestion,datasets,"['list', 'get', 'create', 'update', 'delete']"
57,data_analytics,alerts,"['list', 'get', 'create', 'update', 'delete']"
58,model_building,ml_backends,"['list', 'get']"
59,data_ingestion,connectors,"['list', 'get', 'create', 'update', 'delete']"
60,data_ingestion,datasources,"['list', 'get', 'create', 'update', 'delete']"
61,data_analytics,reports,"['list', 'get', 'create', 'update', 'delete']"
62,data_ingestion,datasources,"['list', 'get', 'create', 'update', 'delete']"
63,data_ingestion,datasources,"['list', 'get', 'create', 'update', 'delete']"
64,data_analytics,widgets,"['list', 'get', 'create', 'update', 'delete']"
65,model_building,models,"['list', 'get', 'create', 'update', 'delete']"
66,data_ingestion,connectors,"['list', 'get', 'create', 'update', 'delete']"
67,model_building,model_versions,"['list', 'get', 'create', 'update', 'delete']"
68,model_building,ml_backends,"['list', 'get']"
69,data_ingestion,connectors,"['list', 'get', 'create', 'update', 'delete']"
70,data_analytics,reports,"['list', 'get', 'create', 'update', 'delete']"
71,model_building,ml_backends,"['list', 'get']"
72,data_ingestion,datasources,"['list', 'get', 'create', 'update', 'delete']"
73,data_analytics,widgets,"['list', 'get', 'create', 'update', 'delete']"
74,data_analytics,alerts,"['list', 'get', 'create', 'update', 'delete']"
75,model_building,model_versions,"['list', 'get', 'create', 'update', 'delete']"
76,data_analytics,dashboards,"['list', 'get', 'create', 'update', 'delete']"
77,data_analytics,alerts,"['list', 'get', 'create', 'update', 'delete']"
78,data_analytics,reports,"['list', 'get', 'create', 'update', 'delete']"
79,data_analytics,reports,"['list', 'get', 'create', 'update', 'delete']"
80,data_analytics,widgets,"['list', 'get', 'create', 'update', 'delete']"
81,data_analytics,reports,"['list', 'get', 'create', 'update', 'delete']"
82,data_ingestion,datasources,"['list', 'get', 'create', 'update', 'delete']"
83,model_building,models,"['list', 'get', 'create', 'update', 'delete']"
84,data_ingestion,datasources,"['list', 'get', 'create', 'update', 'delete']"
85,data_analytics,widgets,"['list', 'get', 'create', 'update', 'delete']"
86,data_analytics,widgets,"['list', 'get', 'create', 'update', 'delete']"
87,data_ingestion,connectors,"['list', 'get', 'create', 'update', 'delete']"
88,data_ingestion,datasets,"['list', 'get', 'create', 'update', 'delete']"
89,data_ingestion,datasets,"['list', 'get', 'create', 'update', 'delete']"
90,model_building,models,"['list', 'get', 'create', 'update', 'delete']"
91,data_analytics,reports,"['list', 'get', 'create', 'update', 'delete']"
92,data_ingestion,datasets,"['list', 'get', 'create', 'update', 'delete']"
93,data_ingestion,datasources,"['list', 'get', 'create', 'update', 'delete']"
94,model_building,ml_backends,"['list', 'get']"
95,model_building,models,"['list', 'get', 'create', 'update', 'delete']"
96,data_ingestion,datasources,"['list', 'get', 'create', 'update', 'delete']"
97,model_building,model_versions,"['list', 'get', 'create', 'update', 'delete']"
98,data_analytics,reports,"['list', 'get', 'create', 'update', 'delete']"
99,data_analytics,alerts,"['list', 'get', 'create', 'update', 'delete']"
100,data_analytics,widgets,"['list', 'get', 'create', 'update', 'delete']"
101,data_ingestion,datasets,"['list', 'get', 'create', 'update', 'delete']"
102,data_analytics,widgets,"['list', 'get', 'create', 'update', 'delete']"
103,model_building,ml_backends,"['list', 'get']"
104,data_analytics,reports,"['list', 'get', 'create', 'update', 'delete']"
105,data_ingestion,datasources,"['list', 'get', 'create', 'update', 'delete']"
106,data_analytics,alerts,"['list', 'get', 'create', 'update', 'delete']"
107,model_building,model_versions,"['list', 'get', 'create', 'update', 'delete']"
108,data_analytics,widgets,"['list', 'get', 'create', 'update', 'delete']"
109,data_analytics,widgets,"['list', 'get', 'create', 'update', 'delete']"
110,data_analytics,dashboards,"['list', 'get', 'create', 'update', 'delete']"
111,data_analytics,widgets,"['list', 'get', 'create', 'update', 'delete']"
112,model_building,model_versions,"['list', 'get', 'create', 'update', 'delete']"
113,data_ingestion,datasets,"['list', 'get', 'create', 'update', 'delete']"
114,data_ingestion,datasources,"['list', 'get', 'create', 'update', 'delete']"
115,data_ingestion,connectors,"['list', 'get', 'create', 'update', 'delete']"
116,model_building,ml_backends,"['list', 'get']"
117,data_ingestion,datasets,"['list', 'get', 'create', 'update', 'delete']"
118,data_analytics,alerts,"['list', 'get', 'create', 'update', 'delete']"
119,model_building,model_versions,"['list', 'get', 'create', 'update', 'delete']"
120,model_building,ml_backends,"['list', 'get']"
121,model_building,ml_backends,"['list', 'get']"
122,data_ingestion,datasets,"['list', 'get', 'create', 'update', 'delete']"
123,data_analytics,widgets,"['list', 'get', 'create', 'update', 'delete']"
124,data_analytics,widgets,"['list', 'get', 'create', 'update', 'delete']"
125,model_building,models,"['list', 'get', 'create', 'update', 'delete']"
126,data_ingestion,datasources,"['list', 'get', 'create', 'update', 'delete']"
127,data_ingestion,connectors,"['list', 'get', 'create', 'update', 'delete']"
128,data_analytics,alerts,"['list', 'get', 'create', 'update', 'delete']"
129,data_ingestion,datasets,"['list', 'get', 'create', 'update', 'delete']"
130,data_ingestion,datasources,"['list', 'get', 'create', 'update', 'delete']"
131,model_building,ml_backends,"['list', 'get']"
132,data_analytics,alerts,"['list', 'get', 'create', 'update', 'delete']"
133,data_analytics,reports,"['list', 'get', 'create', 'update', 'delete']"
134,data_analytics,dashboards,"['list', 'get', 'create', 'update', 'delete']"
135,data_analytics,reports,"['list', 'get', 'create', 'update', 'delete']"
136,data_ingestion,datasets,"['list', 'get', 'create', 'update', 'delete']"
137,model_building,ml_backends,"['list', 'get']"
138,data_ingestion,datasets,"['list', 'get', 'create', 'update', 'delete']"
139,data_ingestion,connectors,"['list', 'get', 'create', 'update', 'delete']"
140,data_analytics,reports,"['list', 'get', 'create', 'update', 'delete']"
141,model_building,ml_backends,"['list', 'get']"
142,data_analytics,reports,"['list', 'get', 'create', 'update', 'delete']"
143,model_building,model_versions,"['list', 'get', 'create', 'update', 'delete']"
144,data_ingestion,datasets,"['list', 'get', 'create', 'update', 'delete']"
145,data_analytics,reports,"['list', 'get', 'create', 'update', 'delete']"
146,model_building,ml_backends,"['list', 'get']"
147,data_ingestion,datasets,"['list', 'get', 'create', 'update', 'delete']"
148,data_ingestion,datasets,"['list', 'get', 'create', 'update', 'delete']"
149,data_ingestion,connectors,"['list', 'get', 'create', 'update', 'delete']"
150,model_building,model_versions,"['list', 'get', 'create', 'update', 'delete']"
151,data_ingestion,datasources,"['list', 'get', 'create', 'update', 'delete']"
152,model_building,model_versions,"['list', 'get', 'create', 'update', 'delete']"
153,data_analytics,dashboards,"['list', 'get', 'create', 'update', 'delete']"
154,data_ingestion,connectors,"['list', 'get', 'create', 'update', 'delete']"
155,data_analytics,reports,"['list', 'get', 'create', 'update', 'delete']"
156,model_building,ml_backends,"['list', 'get']"
157,data_ingestion,connectors,"['list', 'get', 'create', 'update', 'delete']"
158,data_analytics,alerts,"['list', 'get', 'create', 'update', 'delete']"
159,data_ingestion,datasources,"['list', 'get', 'create', 'update', 'delete']"
160,data_ingestion,datasources,"['list', 'get', 'create', 'update', 'delete']"
161,data_analytics,alerts,"['list', 'get', 'create', 'update', 'delete']"
162,model_building,ml_backends,"['list', 'get']"
163,data_ingestion,datasources,"['list', 'get', 'create', 'update', 'delete']"
164,data_analytics,widgets,"['list', 'get', 'create', 'update', 'delete']"
165,data_analytics,widgets,"['list', 'get', 'create', 'update', 'delete']"
166,data_ingestion,datasources,"['list', 'get', 'create', 'update', 'delete']"
167,data_ingestion,connectors,"['list', 'get', 'create', 'update', 'delete']"
168,data_ingestion,connectors,"['list', 'get', 'create', 'update', 'delete']"
169,data_analytics,widgets,"['list', 'get', 'create', 'update', 'delete']"
170,model_building,models,"['list', 'get', 'create', 'update', 'delete']"
171,data_analytics,alerts,"['list', 'get', 'create', 'update', 'delete']"
172,data_ingestion,connectors,"['list', 'get', 'create', 'update', 'delete']"
173,data_ingestion,datasources,"['list', 'get', 'create', 'update', 'delete']"
174,data_ingestion,datasources,"['list', 'get', 'create', 'update', 'delete']"
175,model_building,model_versions,"['list', 'get', 'create', 'update', 'delete']"
176,model_building,ml_backends,"['list', 'get']"
177,model_building,models,"['list', 'get', 'create', 'update', 'delete']"
178,model_building,models,"['list', 'get', 'create', 'update', 'delete']"
